    TruthID    AssociatedTrackID    BreakLength    EstablishmentLength
    _______    _________________    ___________    ___________________

       1               54                 5                232        
       2               45               680                598        
       3               29                 0                664        
       4               58                11                492        
       5               18                 0                436        
       6               51                 5                807        
       7               22                 0                513        
       8               46                 5                675        
       9               42                 0               1221        
      10               53                 0               1500        
      11              NaN                 0               1800        
      12               40                 0               1056        
      13              NaN                 0               1800        
      14              NaN                 0               1800        
      15              NaN                 0               1800        
      16              NaN                 0               1800        
      17              NaN                 0               1800        
      18              NaN                 0               1800        
      19              NaN                 0               1800        
      20              NaN                 0               1800        
      21              NaN                 0               1800        
      22              NaN                 0               1800        
      23              NaN                 0               1800        
      24              NaN                 0               1800        
      25              NaN                 0               1800        
      26              NaN                 0               1800        
      27              NaN                 0               1800        
      28              NaN                 0               1800        
      29                7                 0                 73        
      30              NaN                 0               1800        
      31               12                 0                186        
      32              NaN                 0               1800        
      33              NaN               953                237        
      34               39                 5                424        
      35                5                 0                 64        
      36               24                 0                582        
      37               32                 8                 29        
      38                9                 0                123        
      39               41                 5                615        
      40               49                10                135    
